공고ID,직종코드,메모
KR2026090700017491,022100,"Claude 수작업 — 경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)"
KR2026090700017563,871100,Claude 수작업 — 제과원 및 제빵사
KR2026090700017564,871100,Claude 수작업 — 제과원 및 제빵사
KR2026090700017588,028407,Claude 수작업 — 창고 관리원(자재 검수원 포함)
KR2026090700017810,307700,유제명 직접 — 수의사 보조원
KR2026090700017900,026500,유제명 직접 — 총무 사무원 및 대학 행정조교
KR2026090700017953,153300,Claude 수작업 — 전자공학 기술자 및 연구원
KR2026090700017956,153301,유제명 직접 — 전자부품 개발 기술자 및 연구원
KR2026090700017984,4,Claude 수작업 — 상위 4자리
KR2026090700018117,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700018208,6,Claude 수작업 — 상위 6자리
KR2026090700018257,031500,유제명 직접 — 손해 사정사
KR2026090700018286,027100,Claude 수작업 — 회계 사무원
KR2026090700018299,532201,Claude 수작업 — 호텔·레스토랑 웨이터·웨이트리스
KR2026090700018323,153300,Claude 수작업 — 전자공학 기술자 및 연구원
KR2026090700018327,153301,유제명 직접 — 전자부품 개발 기술자 및 연구원
KR2026090700018412,028100,Claude 수작업 — 무역 사무원
KR2026090700018415,531500,Claude 수작업 — 일식 조리사
KR2026090700018426,029207,유제명 직접 — 고객 상담원(백화점·마트)
KR2026090700018539,420403,Claude 수작업 — 헬스 트레이너
KR2026090700018545,611000,Claude 수작업 — 부동산 컨설턴트 및 중개사
KR2026090700018570,612107,유제명 직접 — 의약품 영업원(제약 영업원)
KR2026090700018623,026501,Claude 수작업 — 총무 및 일반 사무원
KR2026090700018695,617901,Claude 수작업 — 매장 정리원(매장 보조원)
KR2026090700018739,701900,Claude 수작업 — 기타 건설 관련 기능 종사원
KR2026090700018792,420400,Claude 수작업 — 스포츠 강사 및 트레이너
KR2026090700018798,871100,Claude 수작업 — 제과원 및 제빵사
KR2026090700018801,420403,Claude 수작업 — 헬스 트레이너
KR2026090700018829,6,Claude 수작업 — 상위 6자리
KR2026090700018830,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700018832,029204,Claude 수작업 — 고객 상담원(금융·보험·부동산)
KR2026090700019003,026100,Claude 수작업 — 경영 기획 사무원
KR2026090700019031,222001,"Claude 수작업 — 법률 사무원(법원, 로펌, 법무사무소 등)"
KR2026090700019081,029204,Claude 수작업 — 고객 상담원(금융·보험·부동산)
KR2026090700019161,026200,유제명 직접 — 영업 및 마케팅 사무원
KR2026090700019376,541301,Claude 수작업 — 기계·무인 경비원(해당 경비지도사 포함)
KR2026090700019383,214202,Claude 수작업 — 수학 강사
KR2026090700019408,2142,Claude 수작업 — 상위 2142자리
KR2026090700019436,01,유제명 직접 — 상위 01자리
KR2026090700019573,029104,Claude 수작업 — 데스크 안내원
KR2026090700019599,022100,"Claude 수작업 — 경영 및 진단 전문가(경영 컨설턴트, M&A·창업·인증심사·FTA)"
KR2026090700019796,028201,Claude 수작업 — 도로 운송 사무원(배차사무 포함)
KR2026090700019856,121200,Claude 수작업 — 자연과학 시험원
KR2026090700019979,032300,Claude 수작업 — 보험 심사원 및 사무원
KR2026090700020012,550102,Claude 수작업 — 재가 요양보호사
KR2026090700020071,550102,Claude 수작업 — 재가 요양보호사
KR2026090700020135,232200,Claude 수작업 — 보육 관련 시설 돌봄 종사원
KR2026090700020196,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700020263,306501,Claude 수작업 — 물리치료사
KR2026090700020284,6,Claude 수작업 — 상위 6자리
KR2026090700020292,624500,Claude 수작업 — 하역 및 적재 단순 종사원
KR2026090700020317,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700020432,029207,유제명 직접 — 고객 상담원(백화점·마트)
KR2026090700020459,214400,Claude 수작업 — 기술 및 기능계 강사
KR2026090700020466,415400,Claude 수작업 — 시각 디자이너
KR2026090700020468,027100,Claude 수작업 — 회계 사무원
KR2026090700020473,701900,Claude 수작업 — 기타 건설 관련 기능 종사원
KR2026090700020476,624500,Claude 수작업 — 하역 및 적재 단순 종사원
KR2026090700020496,029103,유제명 직접 — 호텔·콘도·숙박시설 프론트 사무원
KR2026090700020651,032300,Claude 수작업 — 보험 심사원 및 사무원
KR2026090700020690,029210,Claude 수작업 — 병원 코디네이터
KR2026090700020724,307501,유제명 직접 — 간호조무사(요양병원 제외)
KR2026090700020915,622300,Claude 수작업 — 화물차 및 특수차 운전원
KR2026090700020932,702900,Claude 수작업 — 기타 건축 마감 관련 기능 종사원
KR2026090700021004,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700021033,6,Claude 수작업 — 상위 6자리
KR2026090700021077,026504,Claude 수작업 — 대학 행정조교
KR2026090700021138,214400,Claude 수작업 — 기술 및 기능계 강사
KR2026090700021337,531700,유제명 직접 — 음료 조리원(바리스타 포함)
KR2026090700021347,511400,Claude 수작업 — 피부 및 체형 관리사
KR2026090700021451,307500,Claude 수작업 — 간호조무사
KR2026090700021479,026200,유제명 직접 — 영업 및 마케팅 사무원
KR2026090700021554,611000,Claude 수작업 — 부동산 컨설턴트 및 중개사
KR2026090700021675,871100,Claude 수작업 — 제과원 및 제빵사
KR2026090700021683,415200,유제명 직접 — 패션 디자이너
KR2026090700021698,026200,유제명 직접 — 영업 및 마케팅 사무원
KR2026090700021713,834002,Claude 수작업 — 빌딩 전기관리원
KR2026090700021728,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700021764,904100,Claude 수작업 — 양식원
KR2026090700021883,5,Claude 수작업 — 상위 5자리
KR2026090700021910,029101,"Claude 수작업 — 일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)"
KR2026090700021929,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700021957,561102,"Claude 수작업 — 호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)"
KR2026090700021988,031500,유제명 직접 — 손해 사정사
KR2026090700022039,232903,유제명 직접 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700022059,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700022086,029104,Claude 수작업 — 데스크 안내원
KR2026090700022139,307500,Claude 수작업 — 간호조무사
KR2026090700022210,532300,Claude 수작업 — 주방 보조원
KR2026090700022212,155700,Claude 수작업 — 산업보건 및 산업환경 관리 기술자
KR2026090700022441,133206,Claude 수작업 — 게임 프로그래머
KR2026090700022454,531700,Claude 수작업 — 음료 조리원(바리스타 포함)
KR2026090700022483,029104,Claude 수작업 — 데스크 안내원
KR2026090700022552,617901,Claude 수작업 — 매장 정리원(매장 보조원)
KR2026090700022586,01,유제명 직접 — 상위 01자리
KR2026090700022610,026200,Claude 수작업 — 영업 및 마케팅 사무원
KR2026090700022618,513200,Claude 수작업 — 반려동물 관리 종사원
KR2026090700022644,232900,유제명 직접 — 기타 사회복지 전문가 및 관련 종사원
KR2026090700022665,541300,유제명 직접 — 시설 및 특수 경비원
KR2026090700022670,550102,Claude 수작업 — 재가 요양보호사
KR2026090700022675,550102,Claude 수작업 — 재가 요양보호사
KR2026090700022790,133200,유제명 직접 — 응용 소프트웨어 개발자
KR2026090700022861,621200,Claude 수작업 — 선장 및 항해사·도선사
KR2026090700022868,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700023000,028408,유제명 직접 — 물류 사무원(물류 관리사)
KR2026090700023025,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700023043,6,Claude 수작업 — 상위 6자리
KR2026090700023055,032300,유제명 직접 — 보험 심사원 및 사무원
KR2026090700023066,026201,유제명 직접 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700023068,512900,"Claude 수작업 — 기타 개인 생활 서비스 종사원(말벗, 노년플래너 등)"
KR2026090700023069,136200,Claude 수작업 — 웹 운영자(홈페이지 관리자)
KR2026090700023124,232903,Claude 수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700023129,232903,Claude 수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700023131,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700023174,026501,Claude 수작업 — 총무 및 일반 사무원
KR2026090700023240,564500,Claude 수작업 — 대여 제품 방문 점검원
KR2026090700023320,82,Claude 수작업 — 상위 82자리
KR2026090700023347,905300,유제명 직접 — 어업 관련 단순 종사원
KR2026090700023366,140201,Claude 수작업 — 건축 현장소장
KR2026090700023427,214202,Claude 수작업 — 수학 강사
KR2026090700023428,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700023481,029101,"Claude 수작업 — 일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)"
KR2026090700023499,307902,Claude 수작업 — 산후조리 종사원(산모 도우미)
KR2026090700023523,511300,유제명 직접 — 네일 관리사(손톱 관리사)
KR2026090700023526,701900,Claude 수작업 — 기타 건설 관련 기능 종사원
KR2026090700023527,531100,Claude 수작업 — 주방장 및 요리 연구가(푸드코디네이터 포함)
KR2026090700023529,214701,Claude 수작업 — 미술 강사
KR2026090700023536,813200,Claude 수작업 — 금속 공작기계 조작원
KR2026090700023590,511200,Claude 수작업 — 미용사
KR2026090700023686,612100,Claude 수작업 — 기술 영업원
KR2026090700023708,028201,Claude 수작업 — 도로 운송 사무원(배차사무 포함)
KR2026090700023713,624500,Claude 수작업 — 하역 및 적재 단순 종사원
KR2026090700023726,013903,Claude 수작업 — 빌딩 관리소장
KR2026090700023776,2147,Claude 수작업 — 상위 2147자리
KR2026090700023789,307500,Claude 수작업 — 간호조무사
KR2026090700023795,026200,Claude 수작업 — 영업 및 마케팅 사무원
KR2026090700023796,026200,Claude 수작업 — 영업 및 마케팅 사무원
KR2026090700023812,013500,Claude 수작업 — 사회복지 관련 관리자(부서장)
KR2026090700023860,873102,Claude 수작업 — 어패류(수산물) 가공기계 조작원
KR2026090700023919,617901,Claude 수작업 — 매장 정리원(매장 보조원)
KR2026090700023966,414900,유제명 직접 — 기타 시각 및 공연 예술가
KR2026090700023989,133200,Claude 수작업 — 응용 소프트웨어 개발자
KR2026090700024031,512100,Claude 수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700024088,028100,Claude 수작업 — 무역 사무원
KR2026090700024175,136102,Claude 수작업 — 네트워크 관리자(클라우딩컴퓨터운영관리자)
KR2026090700024285,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700024351,029205,유제명 직접 — 고객 상담원(스포츠·예식·항공·여행·숙박·오락)
KR2026090700024448,612100,Claude 수작업 — 기술 영업원
KR2026090700024533,6,Claude 수작업 — 상위 6자리
KR2026090700024640,013500,Claude 수작업 — 사회복지 관련 관리자(부서장)
KR2026090700024674,232903,Claude 수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700024675,231103,Claude 수작업 — 사회복지프로그램 운영자
KR2026090700024711,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700024835,028408,유제명 직접 — 물류 사무원(물류 관리사)
KR2026090700024848,512100,Claude 수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700024849,014200,유제명 직접 — 음식 서비스 관련 관리자
KR2026090700024864,614000,Claude 수작업 — 텔레마케터
KR2026090700024891,029900,유제명 직접 — 기타 사무 지원 종사원
KR2026090700024924,307700,Claude 수작업 — 수의사 보조원
KR2026090700025002,032502,Claude 수작업 — 신용 추심원(채권 관리원)
KR2026090700025024,562200,Claude 수작업 — 방역원(해충퇴치원 포함)
KR2026090700025080,615100,Claude 수작업 — 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등)
KR2026090700025122,511400,Claude 수작업 — 피부 및 체형 관리사
KR2026090700025128,026200,Claude 수작업 — 영업 및 마케팅 사무원
KR2026090700025178,214202,Claude 수작업 — 수학 강사
KR2026090700025260,232903,Claude 수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700025265,232903,Claude 수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700025280,214202,Claude 수작업 — 수학 강사
KR2026090700025472,550102,Claude 수작업 — 재가 요양보호사
KR2026090700025630,531700,Claude 수작업 — 음료 조리원(바리스타 포함)
KR2026090700025697,890000,Claude 수작업 — 기타 제조 관련 단순 종사원
KR2026090700025704,027100,Claude 수작업 — 회계 사무원
KR2026090700025707,611000,Claude 수작업 — 부동산 컨설턴트 및 중개사
KR2026090700025861,511200,Claude 수작업 — 미용사
KR2026090700025908,617901,Claude 수작업 — 매장 정리원(매장 보조원)
KR2026090700025932,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700025972,307500,Claude 수작업 — 간호조무사
KR2026090700026081,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700026131,817300,유제명 직접 — 운송장비 조립원(항공기·선박·철도기관차·전동차 등 검사원 포함)
KR2026090700026133,550102,Claude 수작업 — 재가 요양보호사
KR2026090700026148,813201,Claude 수작업 — CNC 선반 조작원(NC 선반 조작원)
KR2026090700026153,027100,Claude 수작업 — 회계 사무원
KR2026090700026177,4,Claude 수작업 — 상위 4자리
KR2026090700026231,214202,Claude 수작업 — 수학 강사
KR2026090700026291,151300,Claude 수작업 — 기계 및 로봇공학 시험원
KR2026090700026308,561900,유제명 직접 — 기타 청소 관련 종사원(놀이공원 등)
KR2026090700026436,2142,Claude 수작업 — 상위 2142자리
KR2026090700026452,026100,Claude 수작업 — 경영 기획 사무원
KR2026090700026508,512100,Claude 수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700026521,550102,Claude 수작업 — 재가 요양보호사
KR2026090700026551,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700026565,612100,Claude 수작업 — 기술 영업원
KR2026090700026578,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700026583,307500,Claude 수작업 — 간호조무사
KR2026090700026669,2147,Claude 수작업 — 상위 2147자리
KR2026090700026728,140201,Claude 수작업 — 건축 현장소장
KR2026090700026748,511400,Claude 수작업 — 피부 및 체형 관리사
KR2026090700026907,511400,Claude 수작업 — 피부 및 체형 관리사
KR2026090700026954,016100,유제명 직접 — 건설 및 광업 관련 관리자(부서장)
KR2026090700026961,151100,Claude 수작업 — 기계공학 기술자 및 연구원
KR2026090700027127,029104,Claude 수작업 — 데스크 안내원
KR2026090700027139,550201,Claude 수작업 — 간병인
KR2026090700027142,550201,Claude 수작업 — 간병인
KR2026090700027177,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700027242,622100,Claude 수작업 — 택시 운전원
KR2026090700027328,612100,Claude 수작업 — 기술 영업원
KR2026090700027365,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700027394,614000,Claude 수작업 — 텔레마케터
KR2026090700027408,615100,Claude 수작업 — 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등)
KR2026090700027412,029204,유제명 직접 — 고객 상담원(금융·보험·부동산)
KR2026090700027414,027100,Claude 수작업 — 회계 사무원
KR2026090700027436,873102,Claude 수작업 — 어패류(수산물) 가공기계 조작원
KR2026090700027466,905300,유제명 직접 — 어업 관련 단순 종사원
KR2026090700027681,511400,Claude 수작업 — 피부 및 체형 관리사
KR2026090700027683,307500,Claude 수작업 — 간호조무사
KR2026090700027688,6,Claude 수작업 — 상위 6자리
KR2026090700027731,416100,Claude 수작업 — 감독 및 기술 감독
KR2026090700027748,513200,Claude 수작업 — 반려동물 관리 종사원
KR2026090700027843,232903,Claude 수작업 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700027896,029211,유제명 직접 — 모니터 요원
KR2026090700027966,813200,Claude 수작업 — 금속 공작기계 조작원
KR2026090700028148,615201,유제명 직접 — 백화점 판매원
KR2026090700028153,512900,"Claude 수작업 — 기타 개인 생활 서비스 종사원(말벗, 노년플래너 등)"
KR2026090700028157,029103,유제명 직접 — 호텔·콘도·숙박시설 프론트 사무원
KR2026090700028173,029100,Claude 수작업 — 안내·접수원 및 전화교환원
KR2026090700028175,029100,Claude 수작업 — 안내·접수원 및 전화교환원
KR2026090700028238,511200,Claude 수작업 — 미용사
KR2026090700028247,029210,Claude 수작업 — 병원 코디네이터
KR2026090700028270,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700028285,871100,Claude 수작업 — 제과원 및 제빵사
KR2026090700028287,511200,Claude 수작업 — 미용사
KR2026090700028330,140201,Claude 수작업 — 건축 현장소장
KR2026090700028348,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700028469,307600,Claude 수작업 — 환자안전 관리사
KR2026090700028567,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700028568,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700028580,151100,Claude 수작업 — 기계공학 기술자 및 연구원
KR2026090700028614,7,Claude 수작업 — 상위 7자리
KR2026090700028620,029207,유제명 직접 — 고객 상담원(백화점·마트)
KR2026090700028626,561101,"유제명 직접 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700028641,872100,Claude 수작업 — 정육 가공원 및 도축원
KR2026090700028706,1,Claude 수작업 — 상위 1자리
KR2026090700028866,026100,Claude 수작업 — 경영 기획 사무원
KR2026090700028893,153,Claude 수작업 — 상위 153자리
KR2026090700028894,153,Claude 수작업 — 상위 153자리
KR2026090700028918,024401,유제명 직접 — 행사·이벤트 기획자
KR2026090700028955,6,Claude 수작업 — 상위 6자리
KR2026090700028961,151300,Claude 수작업 — 기계 및 로봇공학 시험원
KR2026090700028968,622300,Claude 수작업 — 화물차 및 특수차 운전원
KR2026090700028969,622300,Claude 수작업 — 화물차 및 특수차 운전원
KR2026090700028970,622300,Claude 수작업 — 화물차 및 특수차 운전원
KR2026090700028993,702900,Claude 수작업 — 기타 건축 마감 관련 기능 종사원
KR2026090700029011,153105,유제명 직접 — 전기공사 기술자(전기견적 포함)
KR2026090700029014,307500,Claude 수작업 — 간호조무사
KR2026090700029046,013903,Claude 수작업 — 빌딩 관리소장
KR2026090700029052,614005,"유제명 직접 — 텔레마케터(인터넷, 통신)"
KR2026090700029085,624500,Claude 수작업 — 하역 및 적재 단순 종사원
KR2026090700029202,4,Claude 수작업 — 상위 4자리
KR2026090700029218,511300,Claude 수작업 — 네일 관리사(손톱 관리사)
KR2026090700029227,811200,Claude 수작업 — 공업기계 설치 및 정비원
KR2026090700029261,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700029346,561400,Claude 수작업 — 재활용품 및 쓰레기 수거원
KR2026090700029386,564300,Claude 수작업 — 주차 관리원 및 안내원
KR2026090700029408,834002,Claude 수작업 — 빌딩 전기관리원
KR2026090700029419,904100,Claude 수작업 — 양식원
KR2026090700029607,6,Claude 수작업 — 상위 6자리
KR2026090700029659,612100,Claude 수작업 — 기술 영업원
KR2026090700029701,82,Claude 수작업 — 상위 82자리
KR2026090700029740,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700029937,905300,유제명 직접 — 어업 관련 단순 종사원
KR2026090700030033,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700030083,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700030100,813200,Claude 수작업 — 금속 공작기계 조작원
KR2026090700030130,232200,Claude 수작업 — 보육 관련 시설 돌봄 종사원
KR2026090700030198,416100,Claude 수작업 — 감독 및 기술 감독
KR2026090700030216,214101,유제명 직접 — 영어 강사
KR2026090700030357,028100,Claude 수작업 — 무역 사무원
KR2026090700030364,614000,Claude 수작업 — 텔레마케터
KR2026090700030456,811206,유제명 직접 — 기타 공업기계 설치·정비원
KR2026090700030503,2142,Claude 수작업 — 상위 2142자리
KR2026090700030559,024401,유제명 직접 — 행사·이벤트 기획자
KR2026090700030572,232904,유제명 직접 — 그 외 사회복지 종사원
KR2026090700030580,561400,Claude 수작업 — 재활용품 및 쓰레기 수거원
KR2026090700030650,8900,Claude 수작업 — 상위 8900자리
KR2026090700030679,032300,Claude 수작업 — 보험 심사원 및 사무원
KR2026090700030714,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700030729,1402,Claude 수작업 — 상위 1402자리
KR2026090700030801,612102,유제명 직접 — 기계장비 기술영업원
KR2026090700030841,027100,Claude 수작업 — 회계 사무원
KR2026090700030854,561101,"유제명 직접 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700030864,026502,유제명 직접 — 병원행정 사무원(원무)
KR2026090700030928,613100,유제명 직접 — 자동차 영업원
KR2026090700030929,613100,유제명 직접 — 자동차 영업원
KR2026090700030997,2142,Claude 수작업 — 상위 2142자리
KR2026090700031134,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700031136,026501,Claude 수작업 — 총무 및 일반 사무원
KR2026090700031166,815000,유제명 직접 — 자동 조립라인 및 산업용로봇 조작원
KR2026090700031170,82,Claude 수작업 — 상위 82자리
KR2026090700031189,561100,Claude 수작업 — 건물 청소원
KR2026090700031194,813201,Claude 수작업 — CNC 선반 조작원(NC 선반 조작원)
KR2026090700031245,307500,Claude 수작업 — 간호조무사
KR2026090700031387,029210,Claude 수작업 — 병원 코디네이터
KR2026090700031394,5,Claude 수작업 — 상위 5자리
KR2026090700031437,231103,유제명 직접 — 사회복지프로그램 운영자
KR2026090700031447,153,Claude 수작업 — 상위 153자리
KR2026090700031451,617901,Claude 수작업 — 매장 정리원(매장 보조원)
KR2026090700031464,029100,Claude 수작업 — 안내·접수원 및 전화교환원
KR2026090700031488,821200,Claude 수작업 — 금속가공 기계 조작원
KR2026090700031592,140305,Claude 수작업 — 토목안전·환경·품질 기술자
KR2026090700031705,511400,Claude 수작업 — 피부 및 체형 관리사
KR2026090700031809,029205,유제명 직접 — 고객 상담원(스포츠·예식·항공·여행·숙박·오락)
KR2026090700031830,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700031880,613100,Claude 수작업 — 자동차 영업원
KR2026090700031979,6,Claude 수작업 — 상위 6자리
KR2026090700032123,028100,Claude 수작업 — 무역 사무원
KR2026090700032356,307902,Claude 수작업 — 산후조리 종사원(산모 도우미)
KR2026090700032400,214101,Claude 수작업 — 영어 강사
KR2026090700032510,136102,Claude 수작업 — 네트워크 관리자(클라우딩컴퓨터운영관리자)
KR2026090700032569,029202,Claude 수작업 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700032717,811200,Claude 수작업 — 공업기계 설치 및 정비원
KR2026090700032794,029210,Claude 수작업 — 병원 코디네이터
KR2026090700032892,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700032962,3,Claude 수작업 — 상위 3자리
KR2026090700033114,214101,Claude 수작업 — 영어 강사
KR2026090700033209,611000,Claude 수작업 — 부동산 컨설턴트 및 중개사
KR2026090700033225,029500,Claude 수작업 — 전산 자료 입력원
KR2026090700033549,415501,Claude 수작업 — 웹 디자이너
KR2026090700033574,881200,유제명 직접 — 사진 인화 및 현상기 조작원(사진수정 포함)
KR2026090700033580,415400,Claude 수작업 — 시각 디자이너
KR2026090700033589,561400,Claude 수작업 — 재활용품 및 쓰레기 수거원
KR2026090700033590,905200,"Claude 수작업 — 임업 관련 단순 종사원(산림보호감시, 산불감시원 등)"
KR2026090700033593,420200,Claude 수작업 — 직업 운동선수
KR2026090700033594,420100,Claude 수작업 — 스포츠 감독 및 코치
KR2026090700033599,542004,"유제명 직접 — 기타 건물 관리원(공원, 종교시설 등)"
KR2026090700033600,901502,유제명 직접 — 식물 관리원
KR2026090700033606,413201,Claude 수작업 — 사서
KR2026090700033608,905200,"유제명 직접 — 임업 관련 단순 종사원(산림보호감시, 산불감시원 등)"
KR2026090700033609,905200,"유제명 직접 — 임업 관련 단순 종사원(산림보호감시, 산불감시원 등)"
KR2026090700033618,032100,Claude 수작업 — 은행 사무원(출납창구 제외)
KR2026090700033639,136103,유제명 직접 — IT 기술지원 전문가
KR2026090700033643,301100,Claude 수작업 — 전문 의사
KR2026090700033644,028100,유제명 직접 — 무역 사무원
KR2026090700033646,029903,Claude 수작업 — 사무 보조원(공공기관)
KR2026090700033891,612106,"Claude 수작업 — IT 기술영업원(전산장비,소프트웨어)"
KR2026090700033988,027100,Claude 수작업 — 회계 사무원
KR2026090700034098,513200,Claude 수작업 — 반려동물 관리 종사원
KR2026090700034354,029100,Claude 수작업 — 안내·접수원 및 전화교환원
